name,avg_rating,description,category,price_range,location_type
01 Shawarma,2.0,"For a brand that claims to have one of the best shawarma’s in town, the taste of the chicken oh, sorry more like cabbage shawarma I ordered is nothing to write home about. Very below BASIC shawarma.

 I will save that money to buy egg...roll next time.More",Fast Food,Moderate,Mainland
1415 Steakhouse Seafood Restaurant,4.0,"We had a business dinner at 1415 this week and we were very impressed with the service levels and even more with the quality of the food. The Nederburg red by the glass was delicious and perfectly cooled. They served us a complimentary asparagus soup...entrée which was amazing. We then ordered the jumbo prawns and the lamb chops, both outstanding and beautifully presented. The sauces were delicious and the sides were excellent. It’s a pity the restaurant is inside the hotel and doesn’t have an amazing atmosphere because the food is certainly up to it.More Had dinner at this restaurant while staying in Eko hotel on a business trip. A very relaxing place with a very good ambience and excellent décor secluded from the busy areas of the hotel complex. Didn't find many people when I visited, but enjoyed the...live music.  Sea food was excellent and served in style along with the soup. However slightly pricey. Service was good and the waiters were very friendly. They can improve on the drinks and needs to update the menu. Hopes to go there again to try more of the menu, next time when I stay at Eko hotel.More Thank you for staying with us in Eko Hotels & Suites. It is always heartwarming to hear that our restaurants are appreciated and we are delighted your dining experience at our 1415 steakhouse & seafood restaurant made your stay a memorable one. We appreciate your...More",Fine Dining,Premium,Island
343 Degree North Restaurant and Lounge,4.5,"A first class dining experience with just one or two gripes. The service is excellent, the menu provides ample choice for all pallettes, the food quality is first class and its a very nice setting.

I have been there three times recently, with a friend,...on my own and as part of a group. On the first occasion I went on a Thursday to find that there is a live band each night from Thursday to Sunday inclusive. The volume interferes with sociable discussion so we moved upstairs to a lounge bar. The lounge bar is a very nice setting and affords a little more privacy than the main restaurant downstairs. You can still hear the band is not as intrusive as downstairs.

On my second visit, on my own, the restaurant was five minutes away from a perfect review. The music upstairs was fine and being played at a sensible volume. After I asked for the bill, one of the bar staff decided to play naija 'music' very loud. This took the edge off the experience.

On my most recent menu, the waiter taking the order either didn't hear my request for rice or forgot about it. Consequently, the curry and the bread came without the rice. I mentioned it to the manager (more about him later) and when the rice came he added an additional dish at no extra charge.

On the way out and thanked him for his gesture and told him that someone who understands that the recovery is more important than the mistake is a customer service champion. And he is... helpful, attentive, responsive and dedicated to ensuring a great customer experience.

Given the most recent experience I would suggest that the waiters repeat the order back to the customer to ensure nothing is missing.

My only other gripe us that the drinks are expensive compared to other Indian restaurants but I guess they have to pay for the setting!

Overall, a fantastic restaurant, great food, excellent service and a manager who understands customer service. Highly recommendedMore You all need to visit 343 degree please! Everything about the place? The meal? The workers? Going down to the customer service. Very great. I enjoyed my time there and would definitely be right back 😋💚 What an experience it was indeed. I guess in a place like Lagos, one doesn’t expect much when it comes to the smallest things like a smile from the hostess, or a waiter that really understands the menu. 

Today was all far past my expectations....We were welcomed by the hostess at the front door who led us to our table. 

The manager was kind enough to come over and talk us through the menu and dishes. 

The waiters was well versed with what’s popular and a must order.

The food was fantastic and presented very well. The biryani was somewhat different than that of an Indian pallet but that’s why that call it Indian Fusion. Frankly I loved it, suites my pallet just fine. 

Value for money, well you really can’t go wrong. We ate to the brim and it cost us 14k per head. What more can you ask for. 

Authentic with a fusion twist, oh yes indeed. 

A must visitMore",Casual Dining,Premium,Island
355 Restaurant and Lounge,4.5,"I visited at around 9pm on a Tuesday. The first challenge is to negotiate a worryingly steep staircase of thin stairs once thus has been achieved you find yourself in a well appointed, spacious, nicely decorated lounge. Like every other restaurant / bar / lounge...in Lagos I was also greeted with music being played at an unnecessarily loud volume. To avoid this, I noticed a side lounge where the impact of the music was lessened. This space is especially good for people who suffer from light sensitivity issues as you sit on a virtual darkness. I was given a menu and trying to read the small print in the dark proved a fruitless exercise so I downloaded the menu on my phone and ordered a sangria and a chicken burrito. The sangria was not a sangria but a sangria posing as a frozen margarita. I have had sangria in three countries and have never before had a mountain of ice in my glass. The impact of this was twofold - firstly, true to Archimedes Principle, the weight of the ice has the impact of raising the level of the sangria to the rim of the glass which makes negotiating it in the dark a wet, sticky experience and secondly dealing with the first problem by sucking through a straw delivers 'brain freezer. Luckily, the darkness spared the other diners from witnessing my head holding pain!!

The food arrived and looked OK. I moved to a higher table to reduce the distance from plate to mouth (given the attendant perils of dining in the dark). As for the food, the chicken burrito tasted like it should, the refried beans tasted like they should and the rice tasted like it should. It would have been very good but for one thing. There was not a single hot (or even warm thing) on my plate. At this point I decided to eat it as presented, pay the bill and go. I'm sad to say it was a nightmare in the dark. However I'm nothing if not balanced so it's only fair to point out that the service was responsive, helpful and unobtrusive and the setting is very nice. I suspect it gets livelier and noisier later on. Buy the bottom line is that I wanted a quiet, tasty hot meal in a nice setting. What I got was a disappointingly cold meal in a slightly noisy setting that I couldn't see in a lounge I chose to escape the louder music. Could have been very good. It wasn't!!More I am livid as i write, I generally don’t give up on a restaurant after 1 bad experience but this place was just disgusting. We ordered a takeaway. 

I ordered the signature wings and seafood platter. 
I cannot describe the nasty refried rubbish with bits...missing we were presented with. The food looked like frozen food deep fried, i tasted one mouthful then had to bin it and make alternative arrangements for our food.

The real insult is that a platter implies an assortment of items described in the menu. Ladies and gentlemen- look at the picture and see the rubbish we were served in a standard sized plastic container. Notice no sole no spring rolls and the rubbery disgusting food costs N19,600 for this rubbish. There were two jumbo prawns and stodgy mass produced calamari and sticky clumps of pastry. The prawn was like rubber covered in sellotape doused in salt. I have never tasted such awfulness in my life.

I can’t comprehend the good reviews, we eat out very often but this amongst  the worst food we’ve ever been presented with. It was badly described, poorly cooked and shoddily presented. 

There is no justification for this, they had no signature wings. Their response when I complained was could they bring it to me tomorrow!!! Totally clueless and inept customer service. It seems to me that  are taking advantage of their position in VI to serve unimaginative, tasteless food. Yucky on every level! No self respecting establishment would allow food of this quality to go out to a customer.More They've got the coolest ambience, their staffs are well organized and their food is topnotch. Was there with few friends for a birthday dinner and we all had the best dinning i must say.",Cafe,Moderate,Island
777,5.0,"Homely Food 

Wow Ate their coconut rice,Chinese rice,Efo-riro, it's rich & delicious and their are wide variety to select from There foods are very homely and delicious,I love it so much. There africana dishes taste nice and sweet. It’s a nice place to eat good food with homely tastes. They’v have quite numbers of African dishes and these are what distinguished 777 from other fast-food in the locality. The hygiene is excellent, well behaved staff with good customer services. Conducive environment",Fast Food,Moderate,Island
88 Restaurant,4.5,"if i have my way i can always have my dinner eveyday at the stake house . good food all the time i visit and its grilled to your specification . i love the food, love the ambience, hate the pricing for somethings but some might says its worth it. This is a steakhouse/grill that also offers really great fish and Italian dishes.  

The service is very good, unobtrusive and attentive.   

The food is excellent - well prepared and presented - you cannot go wrong with any of the items on the menu - our...table of 8 ordered the variety and everyone was very very happy.

Nice wine list too - good selection of southern hemisphere wines.More",Fine Dining,Moderate,Island
Airport Chinese Restaurant,4.0,"After a long flight with a couple hours to kill in the airport, it’s nice to be able to find a quick bite… And one is tasty too! Why not throw some love to these folks, so I did! With 1year experience I have in this job I think am qualified to serve the company right and make the company proud Services delivery perfect and accurate  with extral hottest food served with etiquette a place to be and forget your home",Fast Food,Moderate,Island
Al Diwan Restaurant,4.0,"Al Diwan is our regular place to visit (say daily) hence I can give detailed experience about the same.

It is having amazing taste of Lebanese food from Humus, Kubus (Balloon Kubus), Shawarma, Roasted Chicken, Lamb and variety of appetizer. The staff is friendly and...chef is his best in service.

There are very less options in Vegetarian Meals however must visit place if you want to taste authentic Lebanese food.

One recommendation, smoking should not be allowed inside your restaurant. You have a separate restaurant outside, you can utilize that strictly for dinners with smoking and sometimes experienced a slow service.More Had dinner last weekend with few friends.
The restaurant hardly busy (maybe two tables) service very poor very unprofessional regarding the ordering of the drinks and food.
It took an eternity for them to serve.
Quality of food much below Salma, 44 or Arabesque.
Price...not cheap.
Conclusion. Never ever againMore Excellent food and very cosy place to enjoy your evening! We went there twice and for sure we'll be returning  many times more! Thank you!",Fast Food,Budget,Island
Amazon Spur,3.0,"I’m a regular guest of Spur..but I was amazed today of how I was treated.today 9:43 I walk into the cafe to get a food I pod with my Atm card as usual and they said it was decline…I went to bring my phone to...check what was wrong but I was debited and I was talking to the manager that don’t even feel remorseful if the guest is hungry or about to die he said I have to pay another money after have been debited before I can get my goods and also said I can go to mu bank 
This is a manager of a company talking to someone anyhow but I paid again and left the promise 
I feel stupid and embarrassed the way I was treated today and I won’t recommend this restaurant again..I paid twice for a meal 
Thank youMore Hi Cookieellla,

Thank you for taking the time to send us your feedback. Customer Service is extremely important to us and we are terribly sorry to read of the level of service you received on your last visit.

Please share this review, along with your...More Terrible.

Poorly ventilated, smoke filled, smelly and greasy dump.

The ‘fast’ food burgers took over 30 minutes to arrive, and when they did arrive they were utterly sh1te . . . what a complete waste of time and money.

The management should be ashamed for...allowing themselves to serve such awful muck, and have the nerve to charge people money for the experience.

Don’t come here, TERRIBLEMore",Fast Food,Moderate,Island
Amazonas Restaurant,4.5,"Amazoina is a beautiful place to be with this jungle vibe experience with a friendly Gorilla that make you feel happier, the place is fill with friendly animals pictures and it also lovely for pictures, the food and drinks is top notch and delicious, I...will loved to visit backMore NICE AMBIENCE, MINIMAL DECOR,  AND TIMELY ATTENDANCE, EXCELLENT CUSTOMER SERVICE, NICE MENUE, GOOD PLACE FOR A FOODIE. This is the best eat out I have had for quite a time now. It felt amazing to share a wonderful time with my family. I recommend this spot for any looking for good food and environment.",Casual Dining,Moderate,Island
